state_intercept,elevation,TCB,TCG,TCW,TCA,obs_intercept,day_of_year,time_observations_started,duration_minutes,effort_distance_km,number_observers
-6,1,1,1,1,1,-6,1,1,1,1,1
-6,1,1,1,1,1,-3,1,1,1,1,1
-6,1,1,1,1,1,-1,1,1,1,1,1
-3,1,1,1,1,1,-6,1,1,1,1,1
-3,1,1,1,1,1,-3,1,1,1,1,1
-3,1,1,1,1,1,-1,1,1,1,1,1
-1,1,1,1,1,1,-6,1,1,1,1,1
-1,1,1,1,1,1,-3,1,1,1,1,1
-1,1,1,1,1,1,-1,1,1,1,1,1
